May 17 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (bbbbb)
Jun 1 11:06:48 ubuntu.local ticky: ERROR: Connection to ftp failed (kkkk)
May 17 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (cccc)
Jun 4 11:06:48 ubuntu.local ticky: ERROR: Connection to DB failed (dddd)
May 29 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (dddd)
Jun 1 11:06:48 ubuntu.local ticky: ERROR: Connection to server (cccc)
May 22 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (kkkk)
Jun 5 11:06:48 ubuntu.local ticky: ERROR: all DB failed (kkkk)
May 17 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (aaaa)
Jun 6 11:06:48 ubuntu.local ticky: ERROR: Connection to DB failed (username)
May 23 11:45:40 ubuntu.local ticky: INFO: Created ticket [#1234] (kkkk)
Jun 9 11:06:48 ubuntu.local ticky: ERROR: Connection to DB failed (bbbbb)
